,,,,LUNI,,,,,,,MARTI,,,,,,,MIERCURI,,,,,,,JOI,,,,,,,VINERI,,,,,,,SÂMBATA,,,,,,,
Anul,Spec.,Grupa,Sgr.,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,8-00-9-50,10-00-11-50,12-00-13-50,14-00-15-50,16-00-17-50,18-00-19-50,20-00-21-50,
1.0,MI,10LF131,A,Engleza-C-PIII1- Schwab_A,GS-S-PP6- Minculete_N,Alg-S-PP6- Aldea_C_N,PE-C-PIII2- Beldianu_I,,,,PE-S-PIII2- Stoica_R,GS-C-PIII2- Minculete_N,,,AP-C-PII1- Monescu_V,SD-L-PP5- Popa_I_I,,,,SD-C-PII1- Plajer_I_C,AR-S-PII1- Anghelina_B,AP-L-PP5- Monescu_V,,,,SA-C-PIII2- Florea_O_A,Alg-C-PI2- Aldea_C_N,AR-C-PI2- Miculescu_R,AR-C-PI2- Miculescu_R,,,,,,,,,,,,,,,,,
,,,,Engleza-S-PIII2- Schwab_A,,,,,,,,,,,,,,,,,,,AR-S-PII1- Anghelina_B,,,SA-L-PP5- Florea_O_A,,,,,,,,,,,,,,,,,,,,
,,,B,Engleza-C-PIII1- Schwab_A,,,,,,,,,,,,SD-L-PP5- Popa_I_I,,,,,,,,,,SA-C-PIII2- Florea_O_A,,,AR-C-PI2- Miculescu_R,,,,,,,,,,,,,,,,,
,,,,Engleza-S-PIII2- Schwab_A,,,,,,,,,,,,,,,,,,,AR-S-PII1- Anghelina_B,,,SA-L-PP5- Florea_O_A,,,,,,,,,,,,,,,,,,,,
,,10LF132,A,Engleza-C-PIII1- Schwab_A,Alg-S-PII2- Aldea_C_N,GS-S-PII2- Minculete_N,PE-C-PIII2- Beldianu_I,,,,PE-S-PIII2- Stoica_R,GS-C-PIII2- Minculete_N,,,AP-C-PII1- Monescu_V,,,,,SD-C-PII1- Plajer_I_C,AP-L-PP5- Monescu_V,AR-S-PII1- Anghelina_B,AR-S-PII1- Anghelina_B,,,SA-C-PIII2- Florea_O_A,Alg-C-PI2- Aldea_C_N,AR-C-PI2- Miculescu_R,AR-C-PI2- Miculescu_R,,,,,,,,,,,,,,,,,
,,,,Engleza-S-PIII2- Schwab_A,,,,,,,,,,,,SD-L-PP5- Popa_I_I,,,,,,,,,SA-L-PP5- Florea_O_A,,,,,,,,,,,,,,,,,,,,,
,,,B,Engleza-C-PIII1- Schwab_A,,,,,,,,,,,,,,,,,,,AR-S-PII1- Anghelina_B,,,SA-C-PIII2- Florea_O_A,,,AR-C-PI2- Miculescu_R,,,,,,,,,,,,,,,,,
,,,,Engleza-S-PIII2- Schwab_A,,,,,,,,,,,,SD-L-PP5- Popa_I_I,,,,,,,,,SA-L-PP5- Florea_O_A,,,,,,,,,,,,,,,,,,,,,
